,Text,Label
0,اخس خوي اللي مايخليك تأكل الين يجي أسلوب يهود,1
1,"الله أكبر 
الموت لأمريكا
الموت لاسرائيل
اللعنه على اليهود
النصر للإسلام
#يسقط_حكم_الحوثي",1
2,تحميل كتاب الملة والنحلة في اليهودية والمسيحية والإسلام تأليف د. حمدي عبد العال pdf مجانا | مكتبة كتب pdf https://t.co/wbqE6eOVbY,0
3,والله المفروض اول شي نقاطعه البحرين  ودبي مع  قطر ع الفساد الي صاير  اليهود ماسووها #رسميا_منع_الخمور_بالبحرين,1
4,منذ أن سحب الله البساط من تحت أقدام اليهود بالمسيحية ثم الاسلام وهم يعيثون في الأرض سخطاً وفسادا ... القيامة موعدنا .,1
5,لاحظ خبث اليهود ما معنى كلمة despacito اقلب الكلمة  بتطلع معك وتيسابسيد اقلب الحرف الاول والثاني تويسابسيد مش ظابطة خلص المهم مستهدفين🙄😂✋🏻,1
6,عامل فلسطيني يبني مستوطنات اليهود واخر يبني الجدار العازل وثالث يعمل في مزارعهم و رابع يبيع منزله وارضه لهم.. ثم يق… https://t.co/mgBLzUilll,1
7,"ما الفرق بين اليهود وال سعود لا فرق 
اليهود قتلوا شعب فلسطين وحاصروهم
وال سعود قتلوا شعب اليمن وحاصروهم 
وجهان لعملة واحدة",1
8,"دوول الخليج بما فيها السعودية تبدأ بالسماح لبناء المعابد اليهودية 

#التطبيع",0
9,"الأمر لا يقتصر على الإيحاء بأن الانفتاح سيكون على الدين المسيحي فقط بل اليهودي أيضاً وسيساعد لتبرير التطبيع
إقرأوا… https://t.co/eXSxrTqbhS",0
10,"#المخدرات_انتشرت_ليه
عشان اليهود عايزنا كده وكله تحت إدارة
انظمه خاينه وعميله بتدمر في شباب المسلمين عشان يفضل مغيب… https://t.co/jrQPbbemub",0
11,"مفتي السعودية :
""حماس إرهابية وقتال اليهود حرام شرعا""
ووزير صهيونى يدعوه لزيارة إسرائيل",1
12,"#السبت_كلنا_ضد_الهلال
 إلا في حالة مقابلة فريق يهودي فلن أفرح لفوز اليهود..💚💙💛🖤
 شنبك ده هحلئهولك
لاتحاول😱..   *صعبه قويه *",1
13,"#الملك_يحارب_الفساد
بعد تصريح مفتي ال سعود بان قتال اليهود حرام  ويجوز الاستعانه في الصهاينه لقتال حزب الله
قرب زوا… https://t.co/zfr1udXIJD",1
14,"نلتقيكم بمشيئة الله في #معرض_الكويت_الدولي_للكتاب 
قاعة 6 جناح 107 #دار_تشكيل
وستتوفر جميع إصداراتي:… https://t.co/pLh9j2INLe",0
15,يهود أوروبا شكلهم بيودعوا المونديال 😂,0
16,قالها الاكسبشني: عنخيركم ما تنامون عنخيركم شنو يهود انتوا يهود؟؟,1
17,"#تيار_المحبة_اليمن 
رئيس الهيئة العليا #تيار_المحبة_اليمن #علي_اليماني يطلق #مبادرة #المحبة #التأريخية  بين #العرب… https://t.co/Lx3hl1lyfh",0
18,انا اولكم وباذن الله كل التوفيق ل اوراوا الياباني على النادي اليهودي القذر  #السبت_كلنا_ضد_الهلال,1
19,مش معقول مفتى السعودية أكبر دولة سنية يفتى بمساندة اليهود والوزير الصهيونى يدعوه للزيارة لطفك بنا يارب,1
20,عندما يقوم مفتي ارض الحرمين  بتصريح غريب يقول فيه  حرام قتل اليهود وان حماس ارهابيه  تضر الفلسطيني  ويجوز الاستعانة… https://t.co/wFDwiozKl4,1
21,"بمجرد ما أن يفرضوا عليك الإسلام تتحول حياتك الى الجحيم؟
و تبقى تتسائل ما هو الحرام و ما هو حلال؟
و هل هذا جائز أم ذ… https://t.co/mfmLTRcljm",1
22,هه اغبى قصة وحدث كذبي وغير صحيح كذبه اليهود للحين اليهود يلبسون اسود عشانه هذا الشخص المنتظر عندهم اسمه في الانقلش… https://t.co/tGg9a5p6sL,1
23,"إن #صهيون  ولو طاولو النجم الجدي
أجبن الخلق ولكنكم لا تفقهون
.
من كانه له ماضي لابد ان يرجع أليه… https://t.co/aWkRCXO285",1
24,هل صحيح مايتم تداوله من ان مفتى ال سعود يصدر فتوى بتحريم قتل اليهود فى كل مكان فى العالم ومنها فلسطين..وان حماس... https://t.co/2Z9zS1WsWz,1
25,سوريا لم ولن تكون لغير المسلمين فلا مجوس ولا نصارى ولا يهود مقدر لهم البقاء فيها ، وسيهيء الله الأسباب لتعود الشام… https://t.co/VJhKhSQEs3,1
26,"تراث من ياصديقي المستعرب.
نجران هل تعرف نسبه 
قاتل الله اليهود سنو لكم التحريف. https://t.co/qObCsSCQr5",1
27,"إني أستبعد جدا حدوث مواجهة بين يهود وحزب الشيطان ..
وعلي أسوأ الإحتمالات ..
إن حصل اشتباك ما .. بينهما ..
فلن... https://t.co/v9mFNMateB",1
28,",

اليهـود معـاهم وعـد بلـفور 

واحنـا معانـا وعـد الجـن 👻 😢

حقنا اضخم 😂🏃👍",1
29,"اليهوديه والمسيحيه والاسلام غطا ديني لبذر النفط اسرائيل لعبة تجار ومستعمرين
للظلاميه فكرها فيها2",0
