Text	Label
 - ?? ???? ????? ??? ????? ??? ???? ????? ???????? ??????? ????? ? ??? ??? ???? ??? ??? ?? ????? ?????? ???????? ?????? ????? ??? ???? ???????? ???? ?? ??? ??????? ? ! ???? ????? ?????? ?????? .. ??? ?? ??? ???? ??? ??????? ????? ?? ???? ? ? ! !	yes
 ?? ???? ?????? ??? ??? ?????? ??? ???? ???? ???	no
" @USERNAME  ??? ??? ?????? ? ?? ??????? ???? ??? ???? ???? ????? ????? ? ???? ?? ???? ??? ?????? …"	yes
" @USERNAME  ???? ????? ?? ??? ??????? ????? ???????? ?????? ???? ??? ?????? ????? ??? ???? ???? ????? ??????? ? ?????? ????? ?????? ( ???? ??? ???? ??? ) . ??? ?????? ???? ?????? ???? ???? ???? ???????? . ???? / ???? ????? ?????"	no
 @USERNAME  ?? ?????? ???? ???? ????? . ??? ?????? ? ????? ???? ??? ??? ???? ???? ???? ? ????? ??? …	no
" @USERNAME  ?? ?? ??? ???? ???? ????????? ? ???? ??? ?????? ????? ?? ??? ?????? ???????? ."	no
 @USERNAME  @USERNAME  ?????? ???????? ??? ??????? ???? ???? ?????? ???? ??? ??? ??? ?????? ???? ??? ?????? ??????? . 70 ??? ??? ??? ???? ???????? ?????? ?????? ?????? ?? ?????? ? ! ???? ?????? ??? ???? ?? ???? ????? ???? . ??????? ?? ???? ????? ???? . ?????? ???? ????? ???? ?? ????? ????? ?????????	no
 @USERNAME  ?? ? ??? ????? ????? ??? ??? ???????	yes
 @USERNAME  ???? ????? ???? ??????? ... ??????? ????? ??? ?????? ???? . ???????? ????? ???? ???? ?? ???????? .. ! ! !	no
 @USERNAME  ??? ??? ??? ??? ???? ??? ? ????? ?????? ??? ?? ???? ????? ?????? ! ! !	yes
" @USERNAME  ????? ??????????? ???? ?? ??? ??????????? ?? ? ??????? ???? ??? ???????? ?????? ??? ??? ???? ??? ??? ???? ?? …"	yes
" @USERNAME  ??? ?????????? "" ?????? "" ???? ???? ? ???? ????? ?? ??? ????????? ????????? ?????? ???? ??? ????? , ?? ????? ?? ?? ??? ! ! !"	no
 @USERNAME  @USERNAME  ??? ??? ??? ???? ?? . ??? ??? ??? ???? ??? ?? ???????? ?? ???? ????? . ??? ??? ????? ??? ????? ??? ??? ???? ??? ???? ???? . ??? ??? ??? ?????? ??????? ?? ??????? ???? ??? ???? ???? ???? .	no
" @USERNAME  @USERNAME  ???? ?? ?????? ????? ?????? . ?????? ?????? ???? ????? ?????? ??????? : ?????? ? ??? ?????? ? ?????? ???????? ."	no
 @USERNAME  @USERNAME  ???? ???? ?????? ?? ??? ???? ?????? ????? ????? ?????? ?? ?? ??	no
 @USERNAME  ???? ?????? ??????? ????? ! ?? ??? ??????? ?? ?? ??? ?????? ????? ???? ?malfunctioning ???? ???? ! ??	yes
 @USERNAME  ??? ???? ?? ???? ???? ??? ?? ??? ??????? ??? ???? ???	yes
 @USERNAME  @USERNAME  ?? ???? ??? ?? ??????? ??????? ?????? ?? ????? ????? ????? ???????? ?????? ???? ?????	yes
" @USERNAME  @USERNAME  ????? ???? ???????? ?????? ????? ???? ?? ?? ?? ???? ????? ???? ?? ??? ?????? ????? ???? ?? ?? ???? ?? ???????? ??????? ???? ?? ?????? ????? ????? ??? ???? "" ???? ??? ? ??? ????? ????? ??? ???? ???? ????? ????? ??? "" ???? ???? ????? ??? ????? ????? ?? ????? ??? ????"	yes
" @USERNAME  ?????? ???? ????? ?? ????? ? ? ?? ??? ?? ???? ?? ???? ???? ?? ????? ? ??????? ?? ?????? ? ? ?? …"	no
 @USERNAME  ????? ????? ?? ?????????? ???????? ?? ????????? ???????? ???? ???? ????? ? ?????? . ???? ???? ?????? ??????? ... ?? ?????? ????? ??? ?? ???? ???? ???? ??? ???? ??????? ???? ???? ??? ????????	yes
 @USERNAME  ??? ???????? ???? ?????? ????	yes
 @USERNAME  ??? ?? ?????? ?????? ????? ? ????? ?????? ?????? ??????? ?????? ??????? ??? ?? ????? ??? ????? ?????? ?????? ?????? ???? ???? ??????? ??????? ???????? ??????? ??? ??? ?? ???? ???? ??? ??? ?????? ???? ????????? ???? ???????? ???? ????? ????? ????? ???????? ?????????	no
" @USERNAME  ?????? ?????? ????????? ? ???? ?? ??? ? ??? ??? ??? ??? ????"	yes
" | : "" ?????? ?? ??? ??? 7 ??? ?3 ???? .. ???????? ??? ????? "" | ?????"	no
 5 - ?? ???? ??? ??? ?? ????? ?? ?????? ???? ????? 6 - ????? ??? ????? ???? ????? ( ?? ??? …	no
 5 . ?? ???? ??? ???? ????? ????????????? ????? ?? 6 . ???? ??????????? ???? ????? ! ( ?? ???? ??? ????? ) 7 . ??? ????? ?????? ???? ???? ??????????? ?? 8 . ?????? ???????? ?????? ???? ?? ?? ?? 9 . ??? ?????? ??? ?? ?????? ?? ?? ??	no
 ????? ?????? ?? ???????? ??? ???? ??? ??? ?????? ???????? ??? ??? ????? ????? ??? ??????? ?????? ??? ? ???? …	no
 ?????? ??? ????? ???????? ??? ??? ???? ???? ??? ???? ????? ??????? ????? ????? ???????? ?? ?????? ??????? ????? ???????? ????? ???? ?????? ?????? ??????? ?? ??????? ????? ???????? ???? ???? ????????	yes
 ?????? ??? ???? ?????? ???? ???? ????? ??? . ????	no
" ??????? ? ?????? ?????? ??????? ??? ? ?? ??? ??? ???? ??? ??? ??? ?????????"	yes
 ?????? ??????? ???? ??????? ???? ?? ?? ????? ???? ?? ????? ??????	yes
 ????????? ??? ?? ????? ??? ? ??? ?? ????? ??????? ???? ??? ???? ???? ?????? ?????? ???? ????	no
 ????? ??? ?????? ???? ???? ?? ???? ???? ????? ?? ??? ????? ?	yes
" ???? ??? ???? ???? . ????? ( ? ) ???? ???? ??? ??????? ???????? ?????? . ???? ?????? ?? ???? ? ???? ???????? ????? ??? ????? ????? ????? ????? ????? ??? ????? ??? ???? .. ?? ??? ? ?? ??? ?????? ???? ????? ???? ??? ??????? ?????? ??? ?? ??????? ?????? ?"	yes
 ??? ?? ??????? ??? ???? ? ?? ?? ??????? ???? ?? ?????????? ? ???? ?? ??? ??????? ? ????? ???? ????? . ????? ?? ???? ??? ? ??? ?????? ? ????? ??? ? ?	no
 ?????? ??????? ??????? ??? ??? ?????? ??????? ???? ?????? ??? ??????? ??? ?????? ????? ????? ?? ?????? ??? ??? ?????? ?? ??? ????? ?????? ???? ? ?? ?? ??	no
 ???????? : ??? ????? ??????? ??? ????????? ?? ????? ???????? ??????? ????	no
 ??? ??????? ???? ???????? ??? ?????? ???? ??? ???? ???? ?????? ?? ????? ??? ????? ??????? ??? ??????? ?????? ?????? …	yes
 ???? ????? ????? ????? ???? ????? ?? ???? ????? ?? ????? ?? ????? …	yes
" ???? ???????? ????? ????? ???????? ???? ?????? ???? ? ??? ???? ????? ????? ?? ??? ???? ??? ???????? ? ?? ?? ?????? ??????? ?????? ?????? ???????"	no
" ???????? - ??? ?????? ??? ????? ???? ???? ???? "" ???? """	yes
 ??? ?????? ?? ??? ??????? ???????? ???? ?????? ??? ??? ?????? ???? ??????	no
 ???? ???????? ??? ???? ????? ????? ????? ... ?? ???? ???	yes
 ??? ?????? ?? ??? ?????? ???? ????? ?? ????? ????? ?????	no
 ??? ?????? ???? ???? ???? ?????? ???? ??????? ?? ??? ?????? @USERNAME 	no
" ?? ???????? ??? ??? ????? ? ??? ??? ?? ???? ???? ??? ??????? ??? ??? ."	yes
 ??????? ?? ??? ??? ??? ?? ?? ???? ???? .. ?? @USERNAME 	no
 ?????? ?? ??? ??? ??? ???? ???? ???? ?? ?? ?? @USERNAME 	no
 ????? ?????? ?? ???? ??? ???? ?????? ??? ???? ??? ??? ???? ??? ?????? ???? ???? ??? ????? ????? ????? …	yes
" ??? ?????? ?????? ???? ?????? ??? ???? ??? ? ??? ?????? ?? ???? ?? ???? ??? ????? ? ???? ????? ?? ??? ???? ???? ? ??? ??? ????? ?? ????? ?? ??????? ? ????? ???? ??????? ???????? ???? ????? ?????"	yes
 ???? ????? ??? ??? ????? ????? ???? ??	no
 ??????? ????? ?????? ?????? ?? ??? ??? ?????? ? ??? ???? ??????? ? ??? ??? ?????? ? ??????? ????????? ?? ????? ?????? ???????? ?????? ? ? ???? ?? ???? ???? ?????? ? ????? ??? ????? ?? ??????? ?? ???????? ?? ??? ????? ??????? ???????? ??? ??????? ??????? ???????	yes
" ????? ???????? ???? ????? ?? ??? ????? ?? ????? ???? ???? ?? ? ????? : "" ???? ??????? ? ??? ??? ?? ???? ??? ???? ??? ???? ? ???? ??????? ??????? ???? ???? ??????? ?? ????? ?????? "" @USERNAME "	no
 ????? ? ??? ??? ??????? ???? ??? ???? ?? !	yes
 ???? ?????? ???? ?? ?????? ???? ??? ?????? ????? ??????? ?? ????? ???? ????? ?????? ???? ?????? ????? …	yes
 ??? ????? ???????? ??? ??? ??? ???? ?? ??? ?? ???? ?? ????? ??? ???? ????? ?? ???? ??? ??? ??? ??? ? ? ? ???? ?????? ????? ?? ??? ???????	yes
 ???? ???? ???? ????? ?? ???? ?????? ?? ????? ??? ??????? ??? ???? ???	no
 ??? ???? ???? ????? ??? ???? ?????? ???? ??????? ???? ???? ?? ???? ???? ?? ????? ??????? …	yes
 ?????? ??? ?????????? ????? ???? ?????? ???? ??? ??? ???? ???? ?? ??? ?? ???? ???? ???? ?????? ( ??? ???? ??? ????? ) ??? ?? ???? ???? ???? ???? ???? ????? ??? ???	yes
 ????? ?????? ??????? : ?? ?? ???? ????? ??? ????? ??? ?????? ?? ??????? ??????? ??? ???? ??? ??????? ????????	no
 ????? ... ???? ?????? ... ???? ????? ... ???? ????? ... ??? ?? ???? ... ? ??	yes
 ?????? ?? ???????? ?? ??? ??????	no
 ??? ?????? ???? ??????? ???? ??? ??? ???? ???????? ???? ?? ???? ???? ??? ?????? ?? ??? ????? ?????? ??? ????? ????? ???	yes
 ???????? ????? ????? ??? ??? ????? ???? ???? ?????? ?? ????? ????? ???? ???? ?? ??? ?????? ???? ????? ??? ?? ??? ??????? ???? ?? ?????? ?? ??? ??????? ?????? ??? ??? ????? ???? .. ???? ????? ??????? ?????? ????? ?? ????? ??? ?? ?????? ??? ???? ???? ????? ????? ??	no
 ???? ?????? ???? ?????? ! ! ! ?? ????? ????? ?? ??	yes
 ???? ??? ??? ????? ??? ????? ???????	no
