id,Text,Label
0,مبروك و سامحونا لعجزنا التام. عقبال اللي جوه. اللي بره يا عاجز يا بيزايد على العاجز,1
1,كلنا بره ومش هنبطل نزايد على العجايز الي جابونا ورى,2
2,بدل ما انت قاعد بره كده تعالي ازرع الصحرا,1
3,قذر اتفووو ماتيجى مصر وتورينا نفسك كدا ياجبان,2
4,وهكذا رجال الشو اللي محرومين من عمل برنامج الغريبة انهم بيقولوا المطبليتة وهم كلهم مطبلتية ايضا,2
5,أنت أزاي لبؤة كدة ؟ ,0
6,دول عبيد باسم !! انت ما تعرفش غير ستات كده يعني اتربيت في وسطهم ففاكر الكل كده ده غير ان ضعيف الشخصية والحجة بيشتم,2
7,علشان مش عارف يرد يقوم يشتم وبعدين اللي قريته في حسابك لازم تتعالج الحق نفسك ,2
8,انت قمر,1
9,كلنا بره ومش هنبطل نزايد على العجايز الي جابونا ورى,1
10,أو اكتشف إن النضال مش سهل وفيه تهديدات وابتزاز,1
11,الحرية حق و ليست منحة يمنحها من لا يملك لمن يستحق.,1
12,اهم حاجة صحفي الجزيرة يتصوروا عا الاسفلت قبل الوصول لنيويورك بتكتب يا احمد؟,1
13,ماشي بس يخرجو وبعدين يحلها ربنا في الظلم,1
14,يعني يسيبهم في السجن ؟! انت مش عاجبك العجب ! 😀,1
15,كما قال الدكتور مرسي بالضبط الحرية مسؤلية و الشرمطة مرمطة,0
16,عيد مبارك باسم .. اشتقنا الى رؤياك لازلنا نتذكر طلتك ع مسرح امتلأ بالسخريه الضحكات تلاشت الا انها تركت اثرا على وجوهنا,1
17,فعلا حرية سرقة المقالات حرية الفاظك القبيحه مثلا حرية حرق المجمع العلمي حرية التمويل الاجنبي اللي علمك حريه مابيطبقهاش,2
18,انتي بتقولي ايه يا مروه ده كلام زي الرصاص في جتت زي النحاس وبعدين مبيقولش حرف ليه ع البوب حبيبه,1
19,الطف حاجة ان حضرتك والى زيك ناسين ان السيسي سافر والناس دى محبوسة بس ياحرام نظرية الموامرة خرمت دماغكم,1
20,الحمد لله انها خرمت دماغنا، وانت عاملة ايه من تحت؟ :),1
21,روح شوفلك حد يربيك. حثالة بشر,2
22,كأهلاوي طبعا نفسي الأهلي يكسب. بس مش عاجباني الثقة الزائدة بعد اخر ماتش. مافيش حاجة مضمونة يا جدعان,1
23,كم سار لك ما جبت الدوري؟ خلاص لا تبكي!  نعطيكم فهد المولد وتعطونا السومه,1
24, يتكلم عن الاهلي المصري يالطيب,1
25,لا ما حبيتها منك يا فصول.. تحسب سخريتي لهذه الدرجة ضعيفة هههههه,1
26,يا زينب فكك من النادي ده بقى,1
27,على الحلوة و المرة,1
28,ده فال وحش اخر فريق قالها قعد عشر سنين يخسر,1
29,سنظل أوفياء 😂,1
30,"متوقعك زملكاوي  يلا خير الله يسامحك""",1
31,انا كنت بقول كده برضه وكنت حاسس ان ف حاجه هتحصل بسبب زياده الثقه الاوفر دى,1
32,الأهلي مغلوب لأااااااااااه 😢😢😢😢😢😢😢😢😢😢😢 يا شماتة ابله ظاظا فيا 😂😂😂😂 شوفت بقى الثقة الزيادة بتجيب ورا,1
33,"""مش عارف مين قال ان موضوع end of text ده كان المقصود بيه ""مات الكلام"" تحياتي للبرنس اللي قالها""",1
34,جهل حضراتكوا بالاعلام العالمي سبب التريقة، الاعلامي القدير رون برجندي عملها قبل كدة عادي :-),1
35,"""هو يعني كان الواجب قبل ما يقولها   يقول "" نجيب من أبو أخر  من أبو ناهيه  end of the text ""  عشان ما يكسفناش""",1
36,"""صح هو فعلا مات الكلام..وبالمرة نقول اغنية اليسا "" محدش ينفع أسامحه علي اللي قتله فيا""""",1
37, ياباسيييييييم المواد الخام بالهبل لميت برنامج,1
38,ده الواد سامح مشاكل بتاع الخارجية هوا اللي قالها,1
39,هي المقصود بيها ده اللي عندنا,1
40,البرنس اللي قالها جزمته برقبه امك عارف امك ياله والا اجبلك عمك مرتضي منصور يفكرك بالمفضوحه يوووو قصدي المرحومه يابن العالمه,0
41,كويس انه ما خدهاش من مقال يهودي,1
42,ده تركيز يا دكتور,1
43,وفيه ناس قالت العكس..ممكن نقول بعد كده اند اوف تكست بدل ما نقول مات الكلام!,1
44,الدقيقة ١٠:٥٠ :السياحة نفسها من ضمن مؤامرة.حد عمره سأل نفسه اشمعنى السياح يبقوا اجانب؟,1
45,"""انت فعلا قذر عشان تشمت في بلدك بالطريقة دي .. ملعون ابوك يا شيخ """,0
46,شماتة ايه بس هو لما نشاور ع غباء المسؤلين يبقى شماتة,2
47,لا دي شمتاتة .. و عايز جنازة يشبع فيها لطم ميعرفش يخي قمية الحقد و الغل اللي عنده ابدا .. انسان قذر,0
48,"""هو في حاجه اساسا تستاهل يبقي عليها حقد :-D  انا اعرف ان الحقد بيبقي علي حاجه كويسه :-D :-D""",1
49,ايوة حقد و شماتة لان لما بيبقي فيه مناسبة حلوة في البلد بيتخرس زي سيده البرادعي,2
50,"""نت ايه كم الفاظ الكراهيه اللي انت فيها ده  انت عايزه ايه""",1
51,وحشتنا اوي ياباسم 😍,1
52,كابتشن كابتشن الحياة منغيرك قميءة و مزرية 😭😭😭,1
53,الله يرحمه ابوك مخلف خول رسمي,0
54,وكمان عراقي فاشل روح ياشاطر العب بعيد يلا يابابا شوفاك واحد امريكاني يظبطك,2
55,اعتذر عن عدم الرد على التويتات. مشغول لشوشتي في فعاليات المجلس الأعلى للعالم. تحبوه كام ريختر؟,1
56,عايزة 6 ريختر و يكون معه تسونامي صغير و الامطار علي شكل كرانيش و يا ريت بينك,1
57,راح عليك انت شوية شغل ...لوز اللوز ...اسكريبت البرنامج كان هيتكتب لوحده وتمد ايدك وانت مغمض وتسحب منه ومايخلصش,1
58,نصف سوا علشان الدايت يا باسيييييييييييييييييييييييييم,1
59,هو إيه بالضبط؟,1
60,"""بجد يا باسم كلنا مفتقدينك ربنا يرجعك بالسلامه""",1
61,خمسسةة يا باسم خمسة مواااه,1
62,حابة أشارككم الفعاليات وقررت أمشي بحنية. ,1
63,دة زى المجلس الاعلى للرياضة عندنا بس اعلى شويتين :-D,1
64,عايز تفهمني إن المجلس الأعلى للعالم سابوا موورتضى منصور واختاروك إنت؟!! صعبة دي يا باااااسيم,1
65,عندك براكين؟,1
66,كل الاحترام و التقدير لاخواتنا في لبنان. فيديوعن التعليقات السيئة على الاحداث.لخص ما كنت افكر فيه #عالشارع ,1
67,استاذ في تصيد الخطأ ونبش العفن واختيار اسوء اماكن بالعنصرية لكي تجد نفسك واقفا امام شعب مريض ولكن لا تنشر اي شيء ايجابي,2
68,انت معلم السخرية الأول لم نتعلم منك شيء الا الاستهزاء والاستخفاف والاستظراف المتقن من خلال سكريبت انت محتاج علاج ابدا بنفسك,2
69,اروع فنان واعلامي عربي التزم بقضايا شعبه,1
70,عن جد عيب,1
71,كلك ذوق باسم يوسف .. و متل ما كلن في صبايا هيك كان في صبايا محجبة حجاب شرعي كامل .. لبنان في هيك و في هيك لأن في تعدد طوائف,1
72,التحرش في مصر ممنهج الي حد كبير خصوصا من السلطات الامنيه سواً كان في الأحداث السياسية او كسياسة علي المدي البعيد ا,2
73,"""على كده انت مراتك ممكن تنزلها بالبيبي دول التحرير في الثوره الجايه عاوز رد عاجل علشان نستعد ونعمل الدعايه انت فاهم طبعا""",2
74,ابه علاقة مراته ولا اهل بيته باحترام الشعب واللبناني وعتداته وتقاليده .. يا اخي احنا مش أحسن من حد,1
75, أي خراب للدول أنت راشق فيه انت و أمثالك,2
76,خراب عشان فضح اختراع الكفتة بتاع الجيش قصدك :)),1
77,"""احب اقول لامناء الشرطة المطالبين بمطالب فئـوية :""ايه؟ حتاكلوا مصر؟ حتاكلوا مصر يعني؟""""",1
78, لو انت ابن راجل  انزل مصر,2
79,مش عيب لما تنسبي نفسك لحد تاني غير ابوكي بطلوا تمجدوا الاشخاص,2
80,هو مال اهلك هو اسمك ولا اسمي,2
81,اسمك كنزى السيسى ههههههههههه اكيد بقه عندك صنم للسيسى و بتسجدى له #شعب_مطبلاتى_بطبعة,2
82, انت واشكالك اللي بتعبدو المرشد لكن احنا بنعبد ربنا بس ونحب اللي يحب بلدنا مش بنشتم بلدنا زيكو,2
83,رد محفوظ و مبرمج مفهوش   باى فكر او فهم بتكلم مع عيل صغير حافظ كلمتين و بيردد,2
84,اسمها هتاكلوا ياقفص مش حتاكلوا:)وبعدين انت مالك احنا مصريين مع بعض ركز انت عند اسيادك ونام علي بطنك كويس علشان يدولك جوائز,2
85,"""و يبقى يلحس لجون استيوارد جزمته اكتر يمكن ياخد جايزه تانيه  صحيح اراجوز زى اللى اتعلمت منه""",2
86,اراجوز و فضح السيسى و اختراعه الكفتة ههههههههههههههههههههههههههههههههههه,2
87,انت غلبان ف دماغك,2
88,٢. القضاء كبيرة    الشكر لكل من انصفني وحسبي الله ونعم الوكيل في كل من أساء الی,1
89,ربنا معاك يا نضيف !!! بلد وسخة,2
90,الوسخة تبقي امك يا عرص يا ابن العرص لما تشتم بلدك علشان خول زي باسم اتفوووووووو,0
91,"""وانا أقصد الدولة الفاشلة الي مابتديش حد حقوقة العادية :) مش بلدي الوطن وأنت كجاهل هعديلك الشتايم !!""",2
92,اتلهي,2
93,"""ده ردك يعني كدة انت أقنعتني ب اتلهي دي  ولا حافظلك شتيمتين !!""",2
94,كله تمام الا حكاية ثقته فالقضاء كبيرة دي  😥😥 :))),2
95,ربنا معاك للأسف الناس نسيت مين اللي فضح الاخوان والفاسدين وظهر حقيقة كتير منهم,1
96,ربنا معاه ينصفه و يرفع عنه الظلم,1
97,حسبي الله في الطبالين بتوع الاعلام,2
