Text,Label
اسغي ياشعب تونس تدعوا بالاسلام كفار الحمدلله نعمة الاسلام بلدنا الجزاير,0
قطع يد السارق توفرت الشروط شرط الحد الأدنى قيمة غرام وربع ذكرني مرة أخرى,1
تلوموش لطفي لعبدلي شرف,1
مستغرب شعب يسمع تفاهة شانو لى الدرجة الشعب تافه قالت شانو نبكي تونس زكمونة سامي الفهري نقطة استفهام تونس الايام,1
هههخ غزلتني مافهمتش شمدخلها الموضوع تتنطر وحدها وتنافق هههه,1
ترضى اليهود والنصارى تتبع ملتهم الحمد لله يوجد يهود الجزائر وتربينا كرههم,0
هدشي فالحين النخب العلمانية المدعومة الغرب مساواة المرأة الرجل,1
الموت للاخوان المسلمين,0
سلام اولا العجب والعجيب الناس يعارضون ويؤيدون حكم اراه كفرا وشرك بالله جهة جهة ثانية يجب معرفة الاصل الحكمة حق الرجل بمثل حظ الانثيين باختصار الرجل المسؤول الانفاق اولاده العكس الحال طلب الرجال النفقة لابد متساوية,1
حولا بالله العلي العظيم الراجل ينصح وحب اعاونك وليت اتقلو راجل ايفكر اذهب,1
تكلام تونس تونس بلاد الدعارة الخماج تفوووو بلاد اليهود سهاينة ربي صلاط دعش يقطعلكم الرؤس,0
زوبعة فنجان,1
هههه جماعت التاريخ مرا تحكي علاها قحبة فرق عصبة طحين تفشليم,0
للاسف رجال تونس اصبحو نسوان,0
تكذب تبين كلامك حرفناش القران البسملة كامل كتاباتنا نحاوها لساننا التربية الاسلامية الليسي زلت نقراها الصح تعرفش دزاير,1
عطيهم الصحة دولة الامارات منعت عاهرات تونس القدوم لدولتهم للعمل تجارة الجنس قرب رأس السنة الميلادية الجزائريين صورة بنات تونس مسخة بلادنا لله يسرنا,0
معلومة تونس المسلم والكافر ترى بسب وقذف المسلمين يرضى أردت سب الكفار فرق تجمع وأختر الألفاظ والوصف الصحيح,1
تعرفي اختي تونس مليانه الافارقة المغرب سمعت الشيء,1
الحرب الإسلام والمسلمين وصلت ديار القيروان بالله اللهم دمر الكفار والمنافقين بلاد الإسلام العالم اينعت رؤوس الظالمين تونس الإسلام لاشيء,0
صرم امك بريك البريك احشاها ترم,0
سيبوها مريم,1
برافو مايا,1
هخخخ وافهم حسيته انتاعه اليتيوب السيد قاله ملين ياولدي تتفرج فديوهاته,1
محلها المذيعة حراكتها حلوى,1
والله مساكين التوانسه علاقه بالدين الزلت والتفرعين نسو فانساهم انفسهم يهديكم,1
للمساواة الرجل المرأة الميراث عاش النظام العلماني التقدمي,1
لطف ربي,1
المساواة الميراث حكايا فارغه وموضوع تافه مافيش نقاش سبحانه وتعالى فسره كتابه الكريم الرجل النصيب الكبر يعلموا تعلمون والله يهدي مؤمن,1
حسبنا ونعم الوكيل تونس وحكام تونس وشعب تونس,1
شمدخل لموضوع الزوالي والعرس تحكي درة زروق طريقة الكلام تافهة مسيبة المضمون ومركزة المضهر,1
مايا قليلة تربية ياسين تفوق الارتباك واضح ياسين مستواه اقوى يستطيعو مجارته صوت مايا الجمها برافووو ياسيين,1
ايعيش اختي محلاها تعرف تعبر وتقنع تفووووووووه,1
عبالكم توانسة كنسار الامة الاسلامية اففففف ربي يهديكم اقصد,0
شمس متربي برشه,1
صرمك,0
اصلك قرد تطورت امامي انسان لقرد ولااتعجب قنبلة شواذ رئيسكم دابة يتكلم انسانية وحقوق ومساواة,0
همجية مدنية علمانية حضارة مدنية الشريعة الاسلامية النظام اعطاه لمسلمين يعجبكم لاتسمون انفسكم مسلمين,1
صحيتك السود تونس كفشلوا قالوا يحبوناش سود شيئ يضحك السود يحبوا يسيسوا قضية وجود اﻻ عقولهم البسيطة والسطحية أسود معقد لونك وأقول طبيبا نفسيا,0
انسنارابيا,1
حقوق ترشتك امشي دور حقوقك بلادك جاي لبلاد عالم اقتصادها تعبان حقوق يرجى العسل تينة الدبور,1
ترجمة سمحت,1
يلعن بوكم شعب الكافرون,0
الحريات الفردية اوالحريات بصفة وقتو نحكيو,1
المشكل المرأة تقود الطائرة المشكل التونسية تتاجر زبورها,0
كريم برافو برافو القحبة مايا نقولك يعطك عصبة العصبة اشرف مرة اكبر شماتااااا تتحرم العصبة طول حياتك,0
نمشي الني العصبة بعاثتهالي نجي النيكك خر,0
تحكى عورة منغير حجاب وشعرك عريان عورة تحكي العورة حجابك تحكي العورة مايا النبي صلى وسلم الحديث نساء كاسيات عاريات مميلات يدخلن الجنة يشمنا ريحها حديث خطير النبي صلى وسلم مازلت ميش تحب تتحجب ربي يهدي بنات تونس نحبولهم لخير,0
لاحظت التوانسة كامل منحازين الفاملات,1
التونسيين قصف تونس,1
شمس متربي لطفي وراجل,1
لطفي شخص حقير وغير محترم وسمج شمس الدين باشا رجولة الاحترام اخلاقه وتربيته ماسمحتله يرد بنفس اسلوبه تحية شمووسي ياغالي مهجه الصباح,0
إنسان فارغ فكريا,1
صحيح تونس ازدواجية الجنسية وماتعيشش باقامة تونس نكرهها القانون تونس,1
قلقتني لعبدة تحط روحا شبعتي رخس,1
أعوذ بالله الشيطان الرجيم,1
هآلقح بة مي لوكان ياو لاد نعل قها,0
ممسطك مروى لى ساعات انحسك ماسطة مساطك هلكت الذوق العام راديو ماد طيح الرداءة الموجودة التلافز التونسية قارية بوزار تخدم راديو هههههههههه تنجح أكيد,1
مودب فانتي مكش راجل,1
لونه بسعوديه نبحتوا لين ونهار بهائم,0
أفكار وآراء تنفع الناس واعية تفهم جملة القضايا همك الميراث الدرجة معاقة فكريا الثمار الخارثة والمصخة جابتها الثورة خلاتنا نندمو عالنهار قررنا نعملو ثورة طلعتلنا الرهوط,0
أصدقاء غرب إفريقيا ووسطها يدرسون وجدة أناس طيبين,1
يعجز الليسان الكلام والله راسي حبس وصل الحال لمحاربة سبحانو وتعالى حبيتو ترجعو يهود عيب عيب تروحو ربي النار توكلكم,0
ليبيا ترحب يمسلم ياحر,1
تمثيل فاشل ناس تافهااااا,1
بلد دين اخلاق,0
ماهي يخ إمام جامع,1
خرجتو زين العبدين وجبتو عميل الماسون,1
زوج شمس لطفي زوج ماصطين,1
الإعلامي تافهه المرأة اتفه والله تملك الجمال مفبركة,1
محلاها المذيعة مرة نسمعها محلاها,1
هالكلبة صبابة الفلوس اتبيع وطنها جيبنها وعاملين قيمة ابلاصتها الحبس,0
تفوه الإسلام متاعكم,0
خويا صح مكرهينهم رب حياتهم ماناش تحاميو زبي نساء تحكم خاوتنا بنات يسهروا لنص الليل يشوف بالتشتناف نسكتولوا المخنث يعدي فالتلفزة العمركم شفتوا مخنث جزائري عداوه التلفزة نيمكو القحبة القناة تتقفل,0
مخص عقلها جيش مريم قول كلاب مريم شعب تونسي يكرها جيش كونشي الحاسه متعها,1
شمس دين مؤدب برغم سي خونا لابس كيلو فلفل يتلغبب,1
يخرج السبسي الصليبي معامل خمر يصبح خارجي,0
اهدري روحك تحكي الجزاير احترمي روحك فايحة زوج حطب جهنم والى عاجبك هادا شاذ ومخنث,0
روح ترخف,1
صهيوني,0
الشعب التونسي يعرف السبسي بقابة ومخلفات بورفيبة هادا منتظر السبسي تونس اسﻻمبة,1
مرتدين الدين إنكار معلوم الدين بالضرورة,1
برنامج تااااافه عاللخر,1
اللهم زلزل الأرض أقدامهم,0
كلام جهل احترامي,1
مومس بوڨلب,0
أنتضروا الساعة,1
طلعت مايا هنتلتو,1
مجاهدات النكاح التونسيات يعدن حوامل اللقطاء خنزير ولد القحبة عهد بورقيبة صرم أمك وأختك وزوجتك وبناتك مسون وغالي كلب محمد,0
مسلمين نعارض عارضتم جاءات مصائب يعرف عباده جيدا شريعة تولائم عباده داعي فلسفة جهلاء نغير قونيين ارض تحل الكارثة قل سمع وطاعة بشر ضعيف تجهل قونيين الكون غيب,1
شعوب راقية تعمل باجتهاد وإخلاص يعيش الحقوق محفوظة أخلاق راقية يهتم بالآخر وشؤونه احترام متبادل المؤسسات اللاجئون يندمجون الجو العرب التخلف يتواصل الانتهازية واستغلال الدين فعلوا,1
والمادا النساء تونس متبرجات أكثر تونس الأخلاق التربية يخاف الدي خلقهم,1
نبيك مغتصب الاطفال المنيوك,0
هههههههه الهم يضحك أساس هوما جابو السيد وذنو يعتك دا يهزك امبولة واااضح يعييط بابا امي فمى سؤال صحيح يحبو يعملو البووز المستعان الناس تتشغب اذهانها تتلهى الحمد لله مناش جهال تتعدى الحكايات التافهة يراك حزييينة هههه عاملتلي كونان,1
مساكن التوانسة ضحايا الصعلوك بورقيبة,1
مايا القصوري أقل بكثير أنو إنسان يستمع يجيبها تتقاضى أجر السرك تقوم قناة الخور التونسي,1
لغة التعميم تنفع كثير معارضين وكثير موافقين,1
تفووووو لطفي العبدلي راجل شمس الدين,1
وطفي روحك ترجع زبي فاضي شغل نقعد اناقش الكبول,0
ياسبسي ياكافر بالله انشاء تدوم والاسلام يدوم وفرض وسنة النبي الكريم تدوم تونسي وانشاء ساورث ورثي بشرع وريني تعمل ياعميل الصهاينة,0
كس اختك,0
القحبة أمك ولد القحبة ربكم الرجال قومون النساء ينفقون زمان المرا قاعدة الدار تخدمشي العكس المرا تخدم والرجل قاعد القهوة بطال قايمة وبالاسرة,0
حكاية المساواة جبت الصيد وذنو بلت بالواقفة خييييت موطاك,1
اكيد تونس بلد وسخ طيب سؤال اتحداك أتحداك تجاوب تتهرب كلام اتحداك سؤال شفت شخص يشووه بلد قحبه وسخه ومدري ناس راحو يسبو البلد يشتموه الاخري يستفيدون رح يصير بلد مثلا سب شتم بالله اعرف رح يستفيدو خلاص شتمت البلد ماتو انجلطو اتحداك تجاوب تجاهلت قصفت جبهتك,0
شدخلك نحبو الإسلام الحقيقي يجينا ونحكمو بلادنا بالإسلام ونقيمو الخلافة شدخلك شحرق شعيرك,1
الاخوان كلاب اهل النار النعال يحاربون يرفعون شعار الاسلام الحل ظلما وعدوانا,0
تافهين,1
الاخر تونس تحتاج فتح اسلامي جديد,0
لطفي يحاميش المخنثين نستعرف لطفي,1
ضرباتو روحها,1
حرام,1
نيك امك فلوسك يعطك عصبة الكبوس هابل عصبة باريس,0
سخان وجوع وشهوات ادني محملتوهاش وغدوى ربي ياااااا ديوت,0
هادو يهود تفو شعب تحيا بلادنا وشعبنا مروحش لتونس ومنحطش رجلي يلاطيف جزاير حرين شوالا هادا روح نعايرهم يهود هادو,0
نناقش أصولا انتماء ديني نناقش فكرة,1
تونسه قحاب ورجلهم يخدمو ههههه رئيس دوله متعهم هههههه,0
بارك,1
مهف ماضي يمثل مليح شمس,1
احذر سلفية جهادية الخوارج كلاب النار دخلوا بالسلفية قبول الناس سلفية صحيح,0
تسب ربي لعنة ديوث,0
تفوه المراك المقلبة مغيب زك منظرك,0
هههههه لووول,1
والله حزينة الشعب التونسي جاهل وبعيد البعد الدين الحنيف,0
مشكلت المسلمين يتركون الواقع ويعيشون الخيال مشكل كبير الأيمان القلوب,1
ربي إكراه دين,1
والديل اكبر نسبه داعش توانسه هههههههه,0
شاب بشير الوشام عاملو عورة عورة مستوى ابقى غني حمامتك طارت أخطاك مالثقافة راهي بعيدة ببرشا ضوئية,1
كلام معقول حكايات لخرى حكاية ميراث جابتش تيح لروح,1
أدعو لرجم باجي قائد السبسي بالحجارة ساحة الكبرى تونس العاصمة,0
متأكد حطيت رأي الطرفين,1
نحبها مريم بصح عملات خرج مراء البر معجبتنيش استنسي اخرتك وشي مريم دعويها تخرج,1
شفت الفيديو حبست الماكلة,1
جبري نقاش يحكي صوت المرأة عورة يحكي أمو مرتو بنتو المرا غنات يربح صوتها العورة الفلوس للزلعة مستحيل يوصل لمستواها ثققافتها الغناي حمامة طارت,0
شاهيها حلال بحرام أصبحنا تونس نحل الحرام ونحرم مااحلى ابتغاء مرضات أنفسنا أنفس الغرب يحاربون ليلا نهارا دخل حرب خسر الدنيا والآخرة الجبابرة الاكاسرة دعوا الربوبية ذكر كتابه كنتم تؤمنون بكتاب قصة فرعون بنى صرحا تعلم الصرح وصعد للسماء وإطلق سهاما ضنا يقتل فرجعت غرقه بمن استنجد أكان ينفع إيمانه دع يكن ينفع إيمانها تكن آمنت,1
السحر الساحر فكرة سامي العهري,1
كلاب والله متحشمو تونس والله ماتستاهلو تكونو عرب ومسلمين,1
